"stock","SpeciesCommonName","year","ExpertGroup","ssb_rho","rec_rho","fbar_rho"
"fle.27.2223","Flounder",2019,"WGBFAS",NA,NA,NA
"fle.27.2425","Flounder",2018,"WGBFAS",NA,NA,NA
"fle.27.2425","Flounder",2019,"WGBFAS",NA,NA,NA
"fle.27.2628","Flounder",2018,"WGBFAS",NA,NA,NA
"fle.27.2628","Flounder",2019,"WGBFAS",NA,NA,NA
"fle.27.2729-32","Flounder",2018,"WGBFAS",NA,NA,NA
"fle.27.2729-32","Flounder",2019,"WGBFAS",NA,NA,NA
"fle.27.3a4","Flounder",2018,"WGNSSK",NA,NA,NA
"fle.27.3a4","Flounder",2019,"WGNSSK",NA,NA,NA
"gag.27.nea","Tope",2018,"WGEF",NA,NA,NA
"gag.27.nea","Tope",2019,"WGEF",NA,NA,NA
"gfb.27.nea","Greater forkbeard",2018,"WGDEEP",NA,NA,NA
"gfb.27.nea","Greater forkbeard",2019,"WGDEEP",NA,NA,NA
"ghl.27.1-2","Greenland halibut",2018,"AFWG",NA,NA,NA
"ghl.27.1-2","Greenland halibut",2019,"AFWG",NA,NA,NA
"ghl.27.561214","Greenland halibut",2019,"NWWG",NA,NA,NA
"gug.27.3a47d","Grey gurnard",2018,"WGNSSK",NA,NA,NA
"gug.27.3a47d","Grey gurnard",2019,"WGNSSK",NA,NA,NA
"guq.27.nea","Leafscale gulper shark",2018,"WGEF",NA,NA,NA
"guq.27.nea","Leafscale gulper shark",2019,"WGEF",NA,NA,NA
"gur.27.3-8","Red gurnard",2018,"WGWIDE",NA,NA,NA
"gur.27.3-8","Red gurnard",2019,"WGWIDE",NA,NA,NA
"had.27.1-2","Haddock",2018,"AFWG",NA,NA,NA
"had.27.1-2","Haddock",2019,"AFWG",NA,NA,NA
"had.27.5b","Haddock",2019,"NWWG",NA,NA,NA
"had.27.6b","Haddock",2018,"WGCSE",NA,NA,NA
"had.27.6b","Haddock",2019,"WGCSE",NA,NA,NA
"had.27.7a","Haddock",2019,"WGCSE",NA,NA,NA
"her.27.1-24a514a","Herring",2018,"WGWIDE",NA,NA,NA
"her.27.30","Herring",2019,"WGBFAS",NA,NA,NA
"her.27.31","Herring",2019,"WGBFAS",NA,NA,NA
"hke.27.3a46-8abd","Hake",2019,"WGBIE",NA,NA,NA
"hke.27.8c9a","Hake",2019,"WGBIE",NA,NA,NA
"hom.27.2a4a5b6a7a-ce-k8","Horse mackerel",2019,"WGWIDE",NA,NA,NA
"hom.27.3a4bc7d","Horse mackerel",2018,"WGWIDE",NA,NA,NA
"hom.27.3a4bc7d","Horse mackerel",2019,"WGWIDE",NA,NA,NA
"jaa.27.10a2","Blue jack mackerel",2018,"WGHANSA",NA,NA,NA
"jaa.27.10a2","Blue jack mackerel",2019,"WGHANSA",NA,NA,NA
"ldb.27.7b-k8abd","Four-spot megrim",2018,"WGBIE",NA,NA,NA
"ldb.27.7b-k8abd","Four-spot megrim",2019,"WGBIE",NA,NA,NA
"lem.27.3a47d","Lemon sole",2018,"WGNSSK",NA,NA,NA
"lem.27.3a47d","Lemon sole",2019,"WGNSSK",NA,NA,NA
"lez.27.4a6a","Megrim",2018,"WGCSE",NA,NA,NA
"lez.27.6b","Megrim",2018,"WGCSE",NA,NA,NA
"lez.27.6b","Megrim",2019,"WGCSE",NA,NA,NA
"lin.27.1-2","Ling",2018,"WGDEEP",NA,NA,NA
"lin.27.1-2","Ling",2019,"WGDEEP",NA,NA,NA
"lin.27.3a4a6-91214","Ling",2018,"WGDEEP",NA,NA,NA
"lin.27.3a4a6-91214","Ling",2019,"WGDEEP",NA,NA,NA
"lin.27.5a","Ling",2018,"WGDEEP",NA,NA,NA
"lin.27.5a","Ling",2019,"WGDEEP",NA,NA,NA
"lin.27.5b","Ling",2018,"WGDEEP",NA,NA,NA
"lin.27.5b","Ling",2019,"WGDEEP",NA,NA,NA
"mac.27.nea","Mackerel",2019,"WGWIDE",NA,NA,NA
"meg.27.7b-k8abd","Megrim",2018,"WGBIE",NA,NA,NA
"meg.27.7b-k8abd","Megrim",2019,"WGBIE",NA,NA,NA
"mon.27.78abd","White anglerfish",2019,"WGBIE",NA,NA,NA
"mur.27.3a47d","Striped red mullet",2018,"WGNSSK",NA,NA,NA
"mur.27.3a47d","Striped red mullet",2019,"WGNSSK",NA,NA,NA
"mur.27.67a-ce-k89a","Striped red mullet",2018,"WGWIDE",NA,NA,NA
"mur.27.67a-ce-k89a","Striped red mullet",2019,"WGWIDE",NA,NA,NA
"nep.27.4outFU","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.27.4outFU","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.27.6aoutFU","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.27.6aoutFU","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.27.7outFU","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.27.7outFU","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.10","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.10","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.11","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.11","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.12","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.12","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.13","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.13","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.14","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.14","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.15","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.15","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.16","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.16","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.17","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.17","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.19","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.19","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.2021","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.2021","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.22","Norway lobster",2018,"WGCSE",NA,NA,NA
"nep.fu.22","Norway lobster",2019,"WGCSE",NA,NA,NA
"nep.fu.2324","Norway lobster",2018,"WGBIE",NA,NA,NA
"nep.fu.2324","Norway lobster",2019,"WGBIE",NA,NA,NA
"nep.fu.25","Norway lobster",2018,"WGBIE",NA,NA,NA
"nep.fu.25","Norway lobster",2019,"WGBIE",NA,NA,NA
"nep.fu.2627","Norway lobster",2018,"WGBIE",NA,NA,NA
"nep.fu.2627","Norway lobster",2019,"WGBIE",NA,NA,NA
"nep.fu.2829","Norway lobster",2018,"WGBIE",NA,NA,NA
"nep.fu.2829","Norway lobster",2019,"WGBIE",NA,NA,NA
"nep.fu.3-4","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.3-4","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.30","Norway lobster",2018,"WGBIE",NA,NA,NA
"nep.fu.30","Norway lobster",2019,"WGBIE",NA,NA,NA
"nep.fu.31","Norway lobster",2018,"WGBIE",NA,NA,NA
"nep.fu.31","Norway lobster",2019,"WGBIE",NA,NA,NA
"nep.fu.32","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.32","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.33","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.33","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.34","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.34","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.5","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.5","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.6","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.6","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.7","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.7","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.8","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.8","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nep.fu.9","Norway lobster",2018,"WGNSSK",NA,NA,NA
"nep.fu.9","Norway lobster",2019,"WGNSSK",NA,NA,NA
"nop.27.3a4","Norway pout",2018,"WGNSSK",NA,NA,NA
"nop.27.6a","Norway pout",2018,"WGCSE",NA,NA,NA
"nop.27.6a","Norway pout",2019,"WGCSE",NA,NA,NA
"ory.27.nea","Orange roughy",2018,"WGDEEP",NA,NA,NA
"ory.27.nea","Orange roughy",2019,"WGDEEP",NA,NA,NA
"pil.27.7","Sardine",2018,"WGHANSA",NA,NA,NA
"pil.27.7","Sardine",2019,"WGHANSA",NA,NA,NA
"pil.27.8abd","Sardine",2018,"WGHANSA",NA,NA,NA
"pil.27.8abd","Sardine",2019,"WGHANSA",NA,NA,NA
"pil.27.8c9a","Sardine",2018,"WGHANSA",NA,NA,NA
"pil.27.8c9a","Sardine",2019,"WGHANSA",NA,NA,NA
"ple.27.24-32","Plaice",2018,"WGBFAS",NA,NA,NA
"ple.27.24-32","Plaice",2019,"WGBFAS",NA,NA,NA
"ple.27.7bc","Plaice",2018,"WGCSE",NA,NA,NA
"ple.27.7bc","Plaice",2019,"WGCSE",NA,NA,NA
"ple.27.7e","Plaice",2018,"WGCSE",NA,NA,NA
"ple.27.7e","Plaice",2019,"WGCSE",NA,NA,NA
"ple.27.7fg","Plaice",2018,"WGCSE",NA,NA,NA
"ple.27.7fg","Plaice",2019,"WGCSE",NA,NA,NA
"ple.27.7h-k","Plaice",2018,"WGCSE",NA,NA,NA
"ple.27.7h-k","Plaice",2019,"WGCSE",NA,NA,NA
"ple.27.89a","Plaice",2018,"WGBIE",NA,NA,NA
"ple.27.89a","Plaice",2019,"WGBIE",NA,NA,NA
"pok.27.1-2","Saithe",2018,"AFWG",NA,NA,NA
"pok.27.1-2","Saithe",2019,"AFWG",NA,NA,NA
"pok.27.5a","Saithe",2018,"NWWG",NA,NA,NA
"pok.27.5b","Saithe",2019,"NWWG",NA,NA,NA
"pol.27.3a4","Pollack",2018,"WGNSSK",NA,NA,NA
"pol.27.3a4","Pollack",2019,"WGNSSK",NA,NA,NA
"pol.27.67","Pollack",2018,"WGCSE",NA,NA,NA
"pol.27.67","Pollack",2019,"WGCSE",NA,NA,NA
"pol.27.89a","Pollack",2018,"WGBIE",NA,NA,NA
"pol.27.89a","Pollack",2019,"WGBIE",NA,NA,NA
"por.27.nea","Porbeagle",2018,"WGEF",NA,NA,NA
"por.27.nea","Porbeagle",2019,"WGEF",NA,NA,NA
"pra.27.1-2","Northern shrimp",2018,"NIPAG",NA,NA,NA
"pra.27.1-2","Northern shrimp",2019,"NIPAG",NA,NA,NA
"pra.27.3a4a","Northern shrimp",2018,"NIPAG",NA,NA,NA
"pra.27.4a","Northern shrimp",2018,"NIPAG",NA,NA,NA
"pra.27.4a","Northern shrimp",2019,"NIPAG",NA,NA,NA
"raj.27.1012","Rays and skates",2018,"WGEF",NA,NA,NA
"raj.27.1012","Rays and skates",2019,"WGEF",NA,NA,NA
"raj.27.3a47d","Rays and skates",2018,"WGEF",NA,NA,NA
"raj.27.3a47d","Rays and skates",2019,"WGEF",NA,NA,NA
"raj.27.67a-ce-h","Rays and skates",2018,"WGEF",NA,NA,NA
"raj.27.67a-ce-h","Rays and skates",2019,"WGEF",NA,NA,NA
"raj.27.89a","Rays and skates",2018,"WGEF",NA,NA,NA
"raj.27.89a","Rays and skates",2019,"WGEF",NA,NA,NA
"reb.2127.dp","Beaked redfish",2018,"NWWG",NA,NA,NA
"reb.2127.dp","Beaked redfish",2019,"NWWG",NA,NA,NA
"reb.2127.sp","Beaked redfish",2018,"NWWG",NA,NA,NA
"reb.2127.sp","Beaked redfish",2019,"NWWG",NA,NA,NA
"reb.27.1-2","Beaked redfish",2018,"AFWG",NA,NA,NA
"reb.27.1-2","Beaked redfish",2019,"AFWG",NA,NA,NA
"reb.27.14b","Beaked redfish",2018,"NWWG",NA,NA,NA
"reb.27.14b","Beaked redfish",2019,"NWWG",NA,NA,NA
"reb.27.5a14","Beaked redfish",2018,"NWWG",NA,NA,NA
"reb.27.5a14","Beaked redfish",2019,"NWWG",NA,NA,NA
"reg.27.1-2","Golden redfish",2018,"AFWG",NA,NA,NA
"reg.27.1-2","Golden redfish",2019,"AFWG",NA,NA,NA
"rhg.27.nea","Roughhead grenadier",2018,"WGDEEP",NA,NA,NA
"rhg.27.nea","Roughhead grenadier",2019,"WGDEEP",NA,NA,NA
"rja.27.nea","White skate",2018,"WGEF",NA,NA,NA
"rja.27.nea","White skate",2019,"WGEF",NA,NA,NA
"rjb.27.3a4","Common skate",2018,"WGEF",NA,NA,NA
"rjb.27.3a4","Common skate",2019,"WGEF",NA,NA,NA
"rjb.27.67a-ce-k","Common skate",2018,"WGEF",NA,NA,NA
"rjb.27.67a-ce-k","Common skate",2019,"WGEF",NA,NA,NA
"rjb.27.89a","Common skate",2018,"WGEF",NA,NA,NA
"rjb.27.89a","Common skate",2019,"WGEF",NA,NA,NA
"rjc.27.3a47d","Thornback ray",2018,"WGEF",NA,NA,NA
"rjc.27.3a47d","Thornback ray",2019,"WGEF",NA,NA,NA
"rjc.27.6","Thornback ray",2018,"WGEF",NA,NA,NA
"rjc.27.6","Thornback ray",2019,"WGEF",NA,NA,NA
"rjc.27.7afg","Thornback ray",2018,"WGEF",NA,NA,NA
"rjc.27.7afg","Thornback ray",2019,"WGEF",NA,NA,NA
"rjc.27.7e","Thornback ray",2018,"WGEF",NA,NA,NA
"rjc.27.7e","Thornback ray",2019,"WGEF",NA,NA,NA
"rjc.27.8","Thornback ray",2018,"WGEF",NA,NA,NA
"rjc.27.8","Thornback ray",2019,"WGEF",NA,NA,NA
"rjc.27.9a","Thornback ray",2018,"WGEF",NA,NA,NA
"rjc.27.9a","Thornback ray",2019,"WGEF",NA,NA,NA
"rje.27.7de","Small-eyed ray",2018,"WGEF",NA,NA,NA
"rje.27.7de","Small-eyed ray",2019,"WGEF",NA,NA,NA
"rje.27.7fg","Small-eyed ray",2018,"WGEF",NA,NA,NA
"rje.27.7fg","Small-eyed ray",2019,"WGEF",NA,NA,NA
"rjf.27.67","Shagreen ray",2018,"WGEF",NA,NA,NA
"rjf.27.67","Shagreen ray",2019,"WGEF",NA,NA,NA
"rjh.27.4a6","Blonde ray",2018,"WGEF",NA,NA,NA
"rjh.27.4a6","Blonde ray",2019,"WGEF",NA,NA,NA
"rjh.27.4c7d","Blonde ray",2018,"WGEF",NA,NA,NA
"rjh.27.4c7d","Blonde ray",2019,"WGEF",NA,NA,NA
"rjh.27.7afg","Blonde ray",2018,"WGEF",NA,NA,NA
"rjh.27.7afg","Blonde ray",2019,"WGEF",NA,NA,NA
"rjh.27.7e","Blonde ray",2018,"WGEF",NA,NA,NA
"rjh.27.7e","Blonde ray",2019,"WGEF",NA,NA,NA
"rjh.27.9a","Blonde ray",2018,"WGEF",NA,NA,NA
"rjh.27.9a","Blonde ray",2019,"WGEF",NA,NA,NA
"rji.27.67","Sandy ray",2018,"WGEF",NA,NA,NA
"rji.27.67","Sandy ray",2019,"WGEF",NA,NA,NA
"rjm.27.3a47d","Spotted ray",2018,"WGEF",NA,NA,NA
"rjm.27.3a47d","Spotted ray",2019,"WGEF",NA,NA,NA
"rjm.27.67bj","Spotted ray",2018,"WGEF",NA,NA,NA
"rjm.27.67bj","Spotted ray",2019,"WGEF",NA,NA,NA
"rjm.27.7ae-h","Spotted ray",2018,"WGEF",NA,NA,NA
"rjm.27.7ae-h","Spotted ray",2019,"WGEF",NA,NA,NA
"rjm.27.8","Spotted ray",2018,"WGEF",NA,NA,NA
"rjm.27.8","Spotted ray",2019,"WGEF",NA,NA,NA
"rjm.27.9a","Spotted ray",2018,"WGEF",NA,NA,NA
"rjm.27.9a","Spotted ray",2019,"WGEF",NA,NA,NA
"rjn.27.3a4","Cuckoo ray",2018,"WGEF",NA,NA,NA
"rjn.27.3a4","Cuckoo ray",2019,"WGEF",NA,NA,NA
"rjn.27.678abd","Cuckoo ray",2018,"WGEF",NA,NA,NA
"rjn.27.678abd","Cuckoo ray",2019,"WGEF",NA,NA,NA
"rjn.27.8c","Cuckoo ray",2018,"WGEF",NA,NA,NA
"rjn.27.8c","Cuckoo ray",2019,"WGEF",NA,NA,NA
"rjn.27.9a","Cuckoo ray",2018,"WGEF",NA,NA,NA
"rjn.27.9a","Cuckoo ray",2019,"WGEF",NA,NA,NA
"rjr.27.23a4","Starry ray",2018,"WGEF",NA,NA,NA
"rjr.27.23a4","Starry ray",2019,"WGEF",NA,NA,NA
"rju.27.7bj","Undulate ray",2018,"WGEF",NA,NA,NA
"rju.27.7bj","Undulate ray",2019,"WGEF",NA,NA,NA
"rju.27.7de","Undulate ray",2018,"WGEF",NA,NA,NA
"rju.27.7de","Undulate ray",2019,"WGEF",NA,NA,NA
"rju.27.8ab","Undulate ray",2018,"WGEF",NA,NA,NA
"rju.27.8ab","Undulate ray",2019,"WGEF",NA,NA,NA
"rju.27.8c","Undulate ray",2018,"WGEF",NA,NA,NA
"rju.27.8c","Undulate ray",2019,"WGEF",NA,NA,NA
"rju.27.9a","Undulate ray",2018,"WGEF",NA,NA,NA
"rju.27.9a","Undulate ray",2019,"WGEF",NA,NA,NA
"rng.27.1245a8914ab","Roundnose grenadier",2018,"WGDEEP",NA,NA,NA
"rng.27.1245a8914ab","Roundnose grenadier",2019,"WGDEEP",NA,NA,NA
"rng.27.3a","Roundnose grenadier",2018,"WGDEEP",NA,NA,NA
"rng.27.3a","Roundnose grenadier",2019,"WGDEEP",NA,NA,NA
"rng.27.5a10b12ac14b","Roundnose grenadier",2018,"WGDEEP",NA,NA,NA
"rng.27.5a10b12ac14b","Roundnose grenadier",2019,"WGDEEP",NA,NA,NA
"rng.27.5b6712b","Roundnose grenadier",2018,"WGDEEP",NA,NA,NA
"rng.27.5b6712b","Roundnose grenadier",2019,"WGDEEP",NA,NA,NA
"sal.21.2-5","Salmon",2018,"WGNAS",NA,NA,NA
"sal.2127.1a-f14","Salmon",2018,"WGNAS",NA,NA,NA
"sal.27.22-31","Salmon",2018,"WGBAST",NA,NA,NA
"sal.27.22-31","Salmon",2019,"WGBAST",NA,NA,NA
"sal.27.32","Salmon",2018,"WGBAST",NA,NA,NA
"sal.27.32","Salmon",2019,"WGBAST",NA,NA,NA
"sal.27.nea","Salmon",2018,"WGNAS",NA,NA,NA
"sal.nac.all","Salmon",2019,"WGNAS",NA,NA,NA
"sal.neac.all","Salmon",2019,"WGNAS",NA,NA,NA
"sal.wgc.all","Salmon",2019,"WGNAS",NA,NA,NA
"san.27.6a","Sandeel",2018,"WGCSE",NA,NA,NA
"san.27.6a","Sandeel",2019,"WGCSE",NA,NA,NA
"san.sa.5r","Sandeel",2018,"HAWG",NA,NA,NA
"san.sa.5r","Sandeel",2019,"HAWG",NA,NA,NA
"san.sa.6","Sandeel",2018,"HAWG",NA,NA,NA
"san.sa.6","Sandeel",2019,"HAWG",NA,NA,NA
"san.sa.7r","Sandeel",2018,"HAWG",NA,NA,NA
"san.sa.7r","Sandeel",2019,"HAWG",NA,NA,NA
"sbr.27.10","Blackspot seabream",2018,"WGDEEP",NA,NA,NA
"sbr.27.10","Blackspot seabream",2019,"WGDEEP",NA,NA,NA
"sbr.27.6-8","Blackspot seabream",2018,"WGDEEP",NA,NA,NA
"sbr.27.6-8","Blackspot seabream",2019,"WGDEEP",NA,NA,NA
"sbr.27.9","Blackspot seabream",2018,"WGDEEP",NA,NA,NA
"sbr.27.9","Blackspot seabream",2019,"WGDEEP",NA,NA,NA
"sck.27.nea","Kitefin shark",2018,"WGEF",NA,NA,NA
"sck.27.nea","Kitefin shark",2019,"WGEF",NA,NA,NA
"sdv.27.nea","Smooth-hound",2018,"WGEF",NA,NA,NA
"sdv.27.nea","Smooth-hound",2019,"WGEF",NA,NA,NA
"sho.27.67","Black-mouth dogfish",2018,"WGEF",NA,NA,NA
"sho.27.67","Black-mouth dogfish",2019,"WGEF",NA,NA,NA
"sho.27.89a","Black-mouth dogfish",2018,"WGEF",NA,NA,NA
"sho.27.89a","Black-mouth dogfish",2019,"WGEF",NA,NA,NA
"sol.27.7bc","Sole",2018,"WGCSE",NA,NA,NA
"sol.27.7bc","Sole",2019,"WGCSE",NA,NA,NA
"sol.27.7h-k","Sole",2018,"WGCSE",NA,NA,NA
"sol.27.7h-k","Sole",2019,"WGCSE",NA,NA,NA
"sol.27.8ab","Sole",2019,"WGBIE",NA,NA,NA
"sol.27.8c9a","Sole",2018,"WGBIE",NA,NA,NA
"sol.27.8c9a","Sole",2019,"WGBIE",NA,NA,NA
"spr.27.3a","Sprat",2018,"HAWG",NA,NA,NA
"spr.27.3a","Sprat",2019,"HAWG",NA,NA,NA
"spr.27.4","Sprat",2019,"HAWG",NA,NA,NA
"spr.27.67a-cf-k","Sprat",2018,"HAWG",NA,NA,NA
"spr.27.67a-cf-k","Sprat",2019,"HAWG",NA,NA,NA
"spr.27.7de","Sprat",2018,"HAWG",NA,NA,NA
"spr.27.7de","Sprat",2019,"HAWG",NA,NA,NA
"syc.27.3a47d","Lesser-spotted dogfish",2018,"WGEF",NA,NA,NA
"syc.27.3a47d","Lesser-spotted dogfish",2019,"WGEF",NA,NA,NA
"syc.27.67a-ce-j","Lesser-spotted dogfish",2018,"WGEF",NA,NA,NA
"syc.27.67a-ce-j","Lesser-spotted dogfish",2019,"WGEF",NA,NA,NA
"syc.27.8abd","Lesser-spotted dogfish",2018,"WGEF",NA,NA,NA
"syc.27.8abd","Lesser-spotted dogfish",2019,"WGEF",NA,NA,NA
"syc.27.8c9a","Lesser-spotted dogfish",2018,"WGEF",NA,NA,NA
"syc.27.8c9a","Lesser-spotted dogfish",2019,"WGEF",NA,NA,NA
"syt.27.67","Greater-spotted dogfish",2018,"WGEF",NA,NA,NA
"syt.27.67","Greater-spotted dogfish",2019,"WGEF",NA,NA,NA
"thr.27.nea","Thresher sharks",2018,"WGEF",NA,NA,NA
"thr.27.nea","Thresher sharks",2019,"WGEF",NA,NA,NA
"trs.27.22-32","Sea trout",2018,"WGBAST",NA,NA,NA
