"case","ramplab","Year","SSB","F","R"
"Mmult Young","Ramp4",1986,2503.62,1.363533,13792.62
"Mmult Young","Ramp4",1987,2072.932,1.813186,16035.34
"Mmult Young","Ramp4",1988,1841.537,1.463098,29788.18
"Mmult Young","Ramp4",1989,3647.504,0.4850898,15480.22
"Mmult Young","Ramp4",1990,3452.448,1.223825,19651.98
"Mmult Young","Ramp4",1991,2497.343,0.9681183,38724
"Mmult Young","Ramp4",1992,3495.028,1.474041,24689.59
"Mmult Young","Ramp4",1993,3420.308,1.100237,30684.99
"Mmult Young","Ramp4",1994,3365.427,1.12065,33834.01
"Mmult Young","Ramp4",1995,4883.417,0.6696932,56358.81
"Mmult Young","Ramp4",1996,9326.703,0.4444622,111777.7
"Mmult Young","Ramp4",1997,13105.61,0.4340912,374971
"Mmult Young","Ramp4",1998,20478.47,0.5694083,796344.3
"Mmult Young","Ramp4",1999,34123.26,0.4798586,1141373
"Mmult Young","Ramp4",2000,34919.01,0.6529633,1241158
"Mmult Young","Ramp4",2001,27493.81,0.7953722,1358357
"Mmult Young","Ramp4",2002,28537.93,0.6584051,1143507
"Mmult Young","Ramp4",2003,24231.19,0.8533071,730378.7
"Mmult Young","Ramp4",2004,14082.16,1.359946,473571.6
"Mmult Young","Ramp4",2005,10099.26,1.152865,527861.7
"Mmult Young","Ramp4",2006,8853.009,0.8133444,838929.3
"Mmult Young","Ramp4",2007,11972.68,0.5730101,606063.7
"Mmult Young","Ramp4",2008,11517.62,1.062957,356843.8
"Mmult Young","Ramp4",2009,8583.182,1.25637,275323.1
"Mmult Young","Ramp4",2010,6201.408,0.9917052,153949.2
"Mmult Young","Ramp4",2011,4124.261,1.37825,104226.2
"Mmult Young","Ramp4",2012,2593.498,1.368334,93398.81
"Mmult Young","Ramp4",2013,1791.09,0.5373404,92008.38
"Mmult Young","Ramp4",2014,1843.859,0.3832992,62980.53
"Mmult Young","Ramp4",2015,1374.383,0.3017655,30179.74
"Mmult Young","Ramp4",2016,926.5678,0.1166109,23928.22
"Mmult Young","Ramp4",2017,756.9603,0.2948948,30686.87
"Mmult Young","Ramp4",2018,600.6889,0.1750183,34073.44
"Mmult Young","Ramp9",1973,12962.89,1.506822,68624.94
"Mmult Young","Ramp9",1974,8904.883,2.194878,88086.92
"Mmult Young","Ramp9",1975,7057.25,3.022073,87714.6
"Mmult Young","Ramp9",1976,7425.578,2.713361,37840.86
"Mmult Young","Ramp9",1977,5345.171,2.465879,25268.45
"Mmult Young","Ramp9",1978,2857.799,2.649077,74303.81
"Mmult Young","Ramp9",1979,6152.302,1.645854,45190.34
"Mmult Young","Ramp9",1980,8692.882,1.107975,42962.54
"Mmult Young","Ramp9",1981,8876.712,0.9855791,89896.9
"Mmult Young","Ramp9",1982,10388.7,1.552371,44537.19
"Mmult Young","Ramp9",1983,8085.465,1.770922,13742.79
"Mmult Young","Ramp9",1984,2070.801,3.15782,19378.09
"Mmult Young","Ramp9",1985,1797.642,2.370737,28871.5
"Mmult Young","Ramp9",1986,2837.489,1.614123,24465.12
"Mmult Young","Ramp9",1987,2393.361,1.901336,46369.92
"Mmult Young","Ramp9",1988,2710.327,1.290404,150616.1
"Mmult Young","Ramp9",1989,6631.297,0.3646672,104068.8
"Mmult Young","Ramp9",1990,4997.165,0.9571516,192457.6
"Mmult Young","Ramp9",1991,4152.774,0.6746043,612596.6
"Mmult Young","Ramp9",1992,9316.285,0.7226976,686883
"Mmult Young","Ramp9",1993,9589.213,0.4457467,1573841
"Mmult Young","Ramp9",1994,13490.15,0.3075374,2469558
"Mmult Young","Ramp9",1995,18009.37,0.3479253,3075789
"Mmult Young","Ramp9",1996,20090.85,0.3892712,2932749
"Mmult Young","Ramp9",1997,20856.71,0.5281491,5209525
"Mmult Young","Ramp9",1998,32494.82,0.7636314,6367173
"Mmult Young","Ramp9",1999,49620.1,0.6170129,5791240
"Mmult Young","Ramp9",2000,49079.54,0.8061183,4691184
"Mmult Young","Ramp9",2001,39002.92,0.9185413,5137827
"Mmult Young","Ramp9",2002,42659.86,0.7243798,4372764
"Mmult Young","Ramp9",2003,36085.69,0.8853154,2779055
"Mmult Young","Ramp9",2004,20377,1.35617,1852965
"Mmult Young","Ramp9",2005,15272.61,1.118375,2177810
"Mmult Young","Ramp9",2006,14750.09,0.7669774,3629504
"Mmult Young","Ramp9",2007,21742.59,0.5035753,2672115
"Mmult Young","Ramp9",2008,19796.67,1.151292,1575833
"Mmult Young","Ramp9",2009,14013.94,1.366978,1194426
"Mmult Young","Ramp9",2010,10060.71,1.082449,638584.5
"Mmult Young","Ramp9",2011,6266.246,1.518773,426511.6
"Mmult Young","Ramp9",2012,3904.422,1.573457,381178.4
"Mmult Young","Ramp9",2013,2655.408,0.6459571,369721.4
"Mmult Young","Ramp9",2014,2744.306,0.4687257,249418.5
"Mmult Young","Ramp9",2015,1839.358,0.376504,118486.1
"Mmult Young","Ramp9",2016,1068.11,0.1465129,96017.71
"Mmult Young","Ramp9",2017,942.8892,0.3774834,130792.2
"Mmult Young","Ramp9",2018,784.9186,0.2311995,150987.2
"Mmult Young"," Sudden",1973,14715.33,1.115771,57631.48
"Mmult Young"," Sudden",1974,9074.495,1.631085,87444.98
"Mmult Young"," Sudden",1975,6560.974,2.154407,95517.23
"Mmult Young"," Sudden",1976,7468.881,1.826397,38203.98
"Mmult Young"," Sudden",1977,5521.621,1.835435,24949.94
"Mmult Young"," Sudden",1978,2952.755,1.872357,78289.99
"Mmult Young"," Sudden",1979,6289.252,0.9714444,47497
"Mmult Young"," Sudden",1980,9379.98,0.8001026,39150.96
"Mmult Young"," Sudden",1981,9296.1,0.7307589,87980.37
"Mmult Young"," Sudden",1982,10728.01,1.076104,45785.03
"Mmult Young"," Sudden",1983,8407.352,1.38573,13242.81
"Mmult Young"," Sudden",1984,2403.864,2.378878,18952.96
"Mmult Young"," Sudden",1985,1768.68,1.568109,23307.46
"Mmult Young"," Sudden",1986,2502.293,1.239551,13605.7
"Mmult Young"," Sudden",1987,2101.445,1.666627,15828.61
"Mmult Young"," Sudden",1988,1858.789,1.325203,28682.39
"Mmult Young"," Sudden",1989,3558.868,0.4522107,15089.99
"Mmult Young"," Sudden",1990,3348.77,1.181227,18442.25
"Mmult Young"," Sudden",1991,2359.616,0.9463861,38088.04
"Mmult Young"," Sudden",1992,3329.457,1.390586,23245.47
"Mmult Young"," Sudden",1993,3172.269,1.092186,27333.81
"Mmult Young"," Sudden",1994,2861.958,1.222973,20857.57
"Mmult Young"," Sudden",1995,3356.858,0.5290521,21070.07
"Mmult Young"," Sudden",1996,5178.676,0.4628391,21515.93
"Mmult Young"," Sudden",1997,6180.619,0.5443784,37619.09
"Mmult Young"," Sudden",1998,7394.902,0.7965728,43547.22
"Mmult Young"," Sudden",1999,10982.59,0.6818801,39890.45
"Mmult Young"," Sudden",2000,11680.9,0.921868,32723.57
"Mmult Young"," Sudden",2001,9720.203,1.088342,36324.26
"Mmult Young"," Sudden",2002,9639.463,0.8741662,34348.31
"Mmult Young"," Sudden",2003,9169.794,1.051777,22541.13
"Mmult Young"," Sudden",2004,5700.6,1.67449,13734.98
"Mmult Young"," Sudden",2005,3689.026,1.515006,13829.72
"Mmult Young"," Sudden",2006,2811.637,1.122082,18293.03
"Mmult Young"," Sudden",2007,3278.077,0.8074926,12375.55
"Mmult Young"," Sudden",2008,3785.181,1.545877,7502.779
"Mmult Young"," Sudden",2009,3464.61,1.620208,6482.711
"Mmult Young"," Sudden",2010,2700.48,1.194109,4170.485
"Mmult Young"," Sudden",2011,2133.592,1.485956,21682.85
"Mmult Young"," Sudden",2012,3234.853,1.06875,143199.3
"Mmult Young"," Sudden",2013,4371.389,0.2407678,1623538
"Mmult Young"," Sudden",2014,2574.431,0.2306916,729456.1
"Mmult Young"," Sudden",2015,1162.686,0.2665624,152215.9
"Mmult Young"," Sudden",2016,403.5039,0.180398,47274.92
"Mmult Young"," Sudden",2017,168.4798,0.8748938,18135.02
"Mmult Young"," Sudden",2018,39.07817,1.805656,6757.934
