"case","ramplab","change.year","Year","SSB","F","R"
"Cmult"," Sudden",2005,1974,33958.39,0.1503138,5841.232
"Cmult"," Sudden",2005,1975,35422.6,0.1359972,4804.195
"Cmult"," Sudden",2005,1976,36413.8,0.1458227,4967.979
"Cmult"," Sudden",2005,1977,36195.77,0.1887344,6624.884
"Cmult"," Sudden",2005,1978,35016.62,0.1894079,6521.471
"Cmult"," Sudden",2005,1979,34290.35,0.1700004,3694.247
"Cmult"," Sudden",2005,1980,33668.2,0.1990719,6847.83
"Cmult"," Sudden",2005,1981,32025.61,0.2637016,5537.588
"Cmult"," Sudden",2005,1982,28975.71,0.3292266,6398.085
"Cmult"," Sudden",2005,1983,25661.78,0.3385935,3923.457
"Cmult"," Sudden",2005,1984,22952.78,0.4034603,5739.095
"Cmult"," Sudden",2005,1985,19775.59,0.4915316,10995.38
"Cmult"," Sudden",2005,1986,16438.93,0.5383717,5834.092
"Cmult"," Sudden",2005,1987,14686.69,0.6374635,8826.504
"Cmult"," Sudden",2005,1988,13805.75,0.6583734,8561.828
"Cmult"," Sudden",2005,1989,12785.6,0.6169067,12524.17
"Cmult"," Sudden",2005,1990,13032.53,0.6511817,13155.99
"Cmult"," Sudden",2005,1991,13238.1,0.5752612,8161.683
"Cmult"," Sudden",2005,1992,14128.79,0.8911948,6936.363
"Cmult"," Sudden",2005,1993,12028.13,1.066449,6616.886
"Cmult"," Sudden",2005,1994,9297.365,0.7430063,4522.461
"Cmult"," Sudden",2005,1995,8330.594,0.7008853,2882.42
"Cmult"," Sudden",2005,1996,8251.845,0.5367837,3724.904
"Cmult"," Sudden",2005,1997,8239.488,0.3536047,4918.267
"Cmult"," Sudden",2005,1998,9638.757,0.3514312,5028.459
"Cmult"," Sudden",2005,1999,10041.01,0.4889683,6981.245
"Cmult"," Sudden",2005,2000,10250.87,0.4411395,3155.28
"Cmult"," Sudden",2005,2001,12316.85,0.4275334,2844.874
"Cmult"," Sudden",2005,2002,15496.31,0.2991505,3175.742
"Cmult"," Sudden",2005,2003,17155.91,0.3577779,3131.653
"Cmult"," Sudden",2005,2004,16926.15,0.2507402,2931.331
"Cmult"," Sudden",2005,2005,14902.39,0.5229441,4821.646
"Cmult"," Sudden",2005,2006,13217.98,0.3842537,5813.941
"Cmult"," Sudden",2005,2007,15593.46,0.274798,4566.511
"Cmult"," Sudden",2005,2008,16072.46,0.2832888,5009.603
"Cmult"," Sudden",2005,2009,15487.21,0.3533989,4822.681
"Cmult"," Sudden",2005,2010,18845.1,0.2957719,4000.566
"Cmult"," Sudden",2005,2011,21393.45,0.4044377,3594.155
"Cmult"," Sudden",2005,2012,19994.17,0.4201543,3377.206
"Cmult"," Sudden",2005,2013,18344.38,0.36054,3729.5
"Cmult"," Sudden",2005,2014,15746.74,0.3645075,3322.891
"Cmult"," Sudden",2005,2015,13874.26,0.3358066,3643.303
"Cmult"," Sudden",2005,2016,14874.79,0.2460015,2226.355
"Cmult"," Sudden",2005,2017,14850.1,0.3750193,3311.438
"Cmult"," Sudden",2005,2018,12254.85,0.4684721,4036.376
"Cmult"," Sudden",2010,1963,17733.92,0.2816181,3305.815
"Cmult"," Sudden",2010,1964,17157.34,0.2823981,2801.459
"Cmult"," Sudden",2010,1965,16407.9,0.2661876,3936.197
"Cmult"," Sudden",2010,1966,16009.5,0.1925019,4533.831
"Cmult"," Sudden",2010,1967,16663.09,0.1479945,4773.089
"Cmult"," Sudden",2010,1968,18228,0.1383065,5705.739
"Cmult"," Sudden",2010,1969,20312.16,0.1199065,4927.5
"Cmult"," Sudden",2010,1970,22830.26,0.1387127,6402.11
"Cmult"," Sudden",2010,1971,25108.04,0.1561417,7836.634
"Cmult"," Sudden",2010,1972,27161.16,0.1491714,5030.623
"Cmult"," Sudden",2010,1973,29961.48,0.1398978,4660.64
"Cmult"," Sudden",2010,1974,32626.96,0.1552396,5653.6
"Cmult"," Sudden",2010,1975,33995.91,0.1404797,4647.546
"Cmult"," Sudden",2010,1976,34909.67,0.1501362,4804.791
"Cmult"," Sudden",2010,1977,34666.8,0.1934006,6406.314
"Cmult"," Sudden",2010,1978,33508.33,0.1941878,6310.392
"Cmult"," Sudden",2010,1979,32789.92,0.1747023,3574.322
"Cmult"," Sudden",2010,1980,32179.19,0.203847,6618.414
"Cmult"," Sudden",2010,1981,30610.47,0.2680916,5344.347
"Cmult"," Sudden",2010,1982,27727.14,0.3323121,6166.999
"Cmult"," Sudden",2010,1983,24605.36,0.3425384,3781.221
"Cmult"," Sudden",2010,1984,22039.6,0.4071371,5534.1
"Cmult"," Sudden",2010,1985,19038.92,0.4928859,10638.32
"Cmult"," Sudden",2010,1986,15892.07,0.5397963,5678.778
"Cmult"," Sudden",2010,1987,14268.57,0.633321,8662.274
"Cmult"," Sudden",2010,1988,13549.55,0.6447203,8462.876
"Cmult"," Sudden",2010,1989,12700.59,0.621338,12401.91
"Cmult"," Sudden",2010,1990,12958.5,0.6542809,12991.16
"Cmult"," Sudden",2010,1991,13160.91,0.5841243,8037.814
"Cmult"," Sudden",2010,1992,14013.93,0.9043165,6808.646
"Cmult"," Sudden",2010,1993,11897.34,1.08618,6466.836
"Cmult"," Sudden",2010,1994,9151.189,0.7628413,4374.239
"Cmult"," Sudden",2010,1995,8116.195,0.7274585,2752.413
"Cmult"," Sudden",2010,1996,7926.997,0.5665421,3499.873
"Cmult"," Sudden",2010,1997,7785.216,0.3797401,4518.569
"Cmult"," Sudden",2010,1998,8959.847,0.3736435,4491.719
"Cmult"," Sudden",2010,1999,9118.289,0.5350779,6010.425
"Cmult"," Sudden",2010,2000,8986.918,0.5003883,2578.419
"Cmult"," Sudden",2010,2001,10338,0.5097185,2225.391
"Cmult"," Sudden",2010,2002,12405.51,0.3754247,2403.563
"Cmult"," Sudden",2010,2003,12933.34,0.483607,2366.901
"Cmult"," Sudden",2010,2004,11634.94,0.3749822,2256.022
"Cmult"," Sudden",2010,2005,10104.97,0.3468659,3830.303
"Cmult"," Sudden",2010,2006,10379.62,0.2163964,4876.919
"Cmult"," Sudden",2010,2007,13677.53,0.1374628,4031.04
"Cmult"," Sudden",2010,2008,15209.06,0.1297817,4599.492
"Cmult"," Sudden",2010,2009,15750.49,0.1492049,4535.539
"Cmult"," Sudden",2010,2010,20417.01,0.2657091,3829.293
"Cmult"," Sudden",2010,2011,22575.47,0.3749053,3446.104
"Cmult"," Sudden",2010,2012,20765.67,0.3960938,3234.8
"Cmult"," Sudden",2010,2013,18794.19,0.344906,3562.831
"Cmult"," Sudden",2010,2014,16033.6,0.3507943,3155.241
"Cmult"," Sudden",2010,2015,13890.22,0.3300728,3444.057
"Cmult"," Sudden",2010,2016,14718.8,0.2453862,2091.994
"Cmult"," Sudden",2010,2017,14509.89,0.3791156,3098.005
"Cmult"," Sudden",2010,2018,11666.8,0.4875117,3765.075
"Cmult"," Sudden",2015,1963,20628.04,0.2337217,3283.715
"Cmult"," Sudden",2015,1964,19982.26,0.2392255,2802.436
"Cmult"," Sudden",2015,1965,19109.67,0.2253783,3949.138
"Cmult"," Sudden",2015,1966,18603.5,0.1635626,4564.251
"Cmult"," Sudden",2015,1967,19157.93,0.127177,4814.345
"Cmult"," Sudden",2015,1968,20615.3,0.121121,5757.604
"Cmult"," Sudden",2015,1969,22578.25,0.1069132,4976.998
"Cmult"," Sudden",2015,1970,24983.69,0.1251115,6472.313
"Cmult"," Sudden",2015,1971,27179.41,0.141792,7907.012
"Cmult"," Sudden",2015,1972,29185.33,0.1364876,5052.778
"Cmult"," Sudden",2015,1973,31983.07,0.1288384,4662.037
"Cmult"," Sudden",2015,1974,34658.03,0.1432037,5636.529
"Cmult"," Sudden",2015,1975,36027.23,0.1302599,4617.942
"Cmult"," Sudden",2015,1976,36908.25,0.1397036,4760.769
"Cmult"," Sudden",2015,1977,36598.06,0.1796049,6329.576
"Cmult"," Sudden",2015,1978,35387.91,0.1804973,6212.53
"Cmult"," Sudden",2015,1979,34579.15,0.1631793,3502.908
"Cmult"," Sudden",2015,1980,33790.14,0.1911619,6466.21
"Cmult"," Sudden",2015,1981,32051.99,0.2513433,5217.007
"Cmult"," Sudden",2015,1982,29034.81,0.3116503,6021.671
"Cmult"," Sudden",2015,1983,25750,0.3240942,3696.847
"Cmult"," Sudden",2015,1984,22991.16,0.3868976,5421.191
"Cmult"," Sudden",2015,1985,19819.21,0.4702078,10455.16
"Cmult"," Sudden",2015,1986,16506.24,0.5160836,5600.276
"Cmult"," Sudden",2015,1987,14717.43,0.6070712,8566.879
"Cmult"," Sudden",2015,1988,13886.37,0.6197417,8387.76
"Cmult"," Sudden",2015,1989,12992.02,0.6000025,12309.52
"Cmult"," Sudden",2015,1990,13249.66,0.6322848,12906.45
"Cmult"," Sudden",2015,1991,13374.01,0.5673301,7997.4
"Cmult"," Sudden",2015,1992,14202.93,0.8794723,6785.187
"Cmult"," Sudden",2015,1993,12081.92,1.054589,6456.31
"Cmult"," Sudden",2015,1994,9330.731,0.7382524,4364.346
"Cmult"," Sudden",2015,1995,8280.986,0.703272,2743.627
"Cmult"," Sudden",2015,1996,8111.862,0.5460291,3485.936
"Cmult"," Sudden",2015,1997,7989.131,0.3660216,4495.942
"Cmult"," Sudden",2015,1998,9187.082,0.3503928,4456.459
"Cmult"," Sudden",2015,1999,9346.777,0.5016054,5933.428
"Cmult"," Sudden",2015,2000,9165.39,0.468398,2522.446
"Cmult"," Sudden",2015,2001,10443.51,0.4808846,2150.835
"Cmult"," Sudden",2015,2002,12347.99,0.3598787,2282.98
"Cmult"," Sudden",2015,2003,12737.4,0.4744698,2203.545
"Cmult"," Sudden",2015,2004,11308.96,0.3781833,2051.412
"Cmult"," Sudden",2015,2005,9620.904,0.3570064,3390.37
"Cmult"," Sudden",2015,2006,9669.873,0.2274413,4198.243
"Cmult"," Sudden",2015,2007,12417.39,0.1474831,3415.914
"Cmult"," Sudden",2015,2008,13498.21,0.1423851,3946.541
"Cmult"," Sudden",2015,2009,13627.26,0.1681349,4050.608
"Cmult"," Sudden",2015,2010,17817.22,0.1313254,3631.084
"Cmult"," Sudden",2015,2011,21800.03,0.1654408,3521.837
"Cmult"," Sudden",2015,2012,23107.77,0.148884,3515.523
"Cmult"," Sudden",2015,2013,24292.14,0.1107978,4010.859
"Cmult"," Sudden",2015,2014,24248.55,0.09505189,3538.753
"Cmult"," Sudden",2015,2015,22557.89,0.3356712,3800.237
"Cmult"," Sudden",2015,2016,22205.53,0.2706722,2205.144
"Cmult"," Sudden",2015,2017,19881.69,0.4647685,3139.953
"Cmult"," Sudden",2015,2018,12814.65,0.7753831,3668.755
"Cmult","Ramp4",2000,1963,21648.12,0.2857783,4473.962
"Cmult","Ramp4",2000,1964,21275.08,0.2108918,3681.107
"Cmult","Ramp4",2000,1965,21672.27,0.1882628,5154.031
"Cmult","Ramp4",2000,1966,22355.93,0.1290651,5907.834
"Cmult","Ramp4",2000,1967,24121.69,0.0960809,6187.212
"Cmult","Ramp4",2000,1968,26913.29,0.08834813,7322.738
"Cmult","Ramp4",2000,1969,30265.09,0.07600015,6222.897
"Cmult","Ramp4",2000,1970,34065.89,0.0883366,7950.537
"Cmult","Ramp4",2000,1971,37571.11,0.09987523,9658.493
"Cmult","Ramp4",2000,1972,40707.11,0.09590822,6209.43
"Cmult","Ramp4",2000,1973,44748.62,0.09035816,5754.91
"Cmult","Ramp4",2000,1974,48555.71,0.1014857,6950.593
"Cmult","Ramp4",2000,1975,50692.45,0.09316854,5681.677
"Cmult","Ramp4",2000,1976,52127.32,0.1017759,5830.78
"Cmult","Ramp4",2000,1977,51941.2,0.1334032,7703.772
"Cmult","Ramp4",2000,1978,50611.65,0.1340422,7504.041
"Cmult","Ramp4",2000,1979,49649.97,0.1201976,4230.605
"Cmult","Ramp4",2000,1980,48438.32,0.1444374,7839.196
"Cmult","Ramp4",2000,1981,45894.18,0.1985714,6372.338
"Cmult","Ramp4",2000,1982,41549.84,0.2576828,7411.418
"Cmult","Ramp4",2000,1983,36653.37,0.2638846,4563.725
"Cmult","Ramp4",2000,1984,32529.28,0.3229344,6705.18
"Cmult","Ramp4",2000,1985,27762.41,0.4083447,12875.91
"Cmult","Ramp4",2000,1986,22738.65,0.4408851,6689.19
"Cmult","Ramp4",2000,1987,19744.46,0.5368471,9777.32
"Cmult","Ramp4",2000,1988,17582.58,0.5870897,9235.951
"Cmult","Ramp4",2000,1989,15591.51,0.470105,13552.94
"Cmult","Ramp4",2000,1990,16334.46,0.4818118,14712.07
"Cmult","Ramp4",2000,1991,16607.5,0.4018251,9648.581
"Cmult","Ramp4",2000,1992,18495.38,0.5916233,8955.889
"Cmult","Ramp4",2000,1993,17821.69,0.6173294,9619.314
"Cmult","Ramp4",2000,1994,16652.92,0.3539787,7495.673
"Cmult","Ramp4",2000,1995,17397.69,0.2831643,5357.13
"Cmult","Ramp4",2000,1996,20406.71,0.2547191,7538.201
"Cmult","Ramp4",2000,1997,22240.24,0.2045072,10526.36
"Cmult","Ramp4",2000,1998,25755.43,0.2618827,10850.72
"Cmult","Ramp4",2000,1999,26203.04,0.4345479,14594.36
"Cmult","Ramp4",2000,2000,24825.95,0.4938719,6106.706
"Cmult","Ramp4",2000,2001,26736.84,0.5409067,4983.674
"Cmult","Ramp4",2000,2002,30180.77,0.429604,5038.985
"Cmult","Ramp4",2000,2003,29691.86,0.584406,4623.778
"Cmult","Ramp4",2000,2004,24435.28,0.5055726,4136.041
"Cmult","Ramp4",2000,2005,18893,0.5355935,6603.119
"Cmult","Ramp4",2000,2006,16994.76,0.390202,7905.771
"Cmult","Ramp4",2000,2007,20500.92,0.2713049,6186.516
"Cmult","Ramp4",2000,2008,21481.23,0.2753329,6776.388
"Cmult","Ramp4",2000,2009,20967.64,0.3372148,6517.562
"Cmult","Ramp4",2000,2010,25669.17,0.2806636,5404.03
"Cmult","Ramp4",2000,2011,29311.63,0.3814735,4853.809
"Cmult","Ramp4",2000,2012,27631.37,0.3925655,4557.878
"Cmult","Ramp4",2000,2013,25575.54,0.3336359,5031.578
"Cmult","Ramp4",2000,2014,22210.01,0.3329864,4476.579
"Cmult","Ramp4",2000,2015,19727.57,0.3043315,4899.517
"Cmult","Ramp4",2000,2016,21366.03,0.2213142,2987.912
"Cmult","Ramp4",2000,2017,21508.83,0.3337795,4435.555
"Cmult","Ramp4",2000,2018,17747.48,0.4148641,5398.058
"Cmult","Ramp4",2005,1963,17713.44,0.3104508,3661.178
"Cmult","Ramp4",2005,1964,17210.54,0.2774279,3049.975
"Cmult","Ramp4",2005,1965,16844.01,0.2565298,4273.953
"Cmult","Ramp4",2005,1966,16793.14,0.181342,4910.703
"Cmult","Ramp4",2005,1967,17799.31,0.1369059,5159.483
"Cmult","Ramp4",2005,1968,19753.15,0.1263989,6146.912
"Cmult","Ramp4",2005,1969,22243.25,0.1083139,5277.07
"Cmult","Ramp4",2005,1970,25173.14,0.1249762,6814.158
"Cmult","Ramp4",2005,1971,27830.94,0.1406589,8328.295
"Cmult","Ramp4",2005,1972,30202.6,0.1341437,5363.456
"Cmult","Ramp4",2005,1973,33352.25,0.1257923,4982.783
"Cmult","Ramp4",2005,1974,36339.79,0.1400324,6046.278
"Cmult","Ramp4",2005,1975,37924.9,0.1269276,4968.414
"Cmult","Ramp4",2005,1976,38999.12,0.1367885,5132.209
"Cmult","Ramp4",2005,1977,38789.21,0.1777387,6834.585
"Cmult","Ramp4",2005,1978,37574.62,0.1783187,6715.689
"Cmult","Ramp4",2005,1979,36806.84,0.1599941,3800.487
"Cmult","Ramp4",2005,1980,36096,0.1883974,7044.543
"Cmult","Ramp4",2005,1981,34297.82,0.2515368,5703.376
"Cmult","Ramp4",2005,1982,31002.01,0.3166394,6598.481
"Cmult","Ramp4",2005,1983,27397.42,0.3259744,4048.596
"Cmult","Ramp4",2005,1984,24440.07,0.3900952,5925.282
"Cmult","Ramp4",2005,1985,20982.28,0.4793054,11326.36
"Cmult","Ramp4",2005,1986,17352.14,0.5250208,5979.213
"Cmult","Ramp4",2005,1987,15380.75,0.6281205,8977.484
"Cmult","Ramp4",2005,1988,14266.19,0.6593907,8654.577
"Cmult","Ramp4",2005,1989,13035.09,0.5991941,12653.52
"Cmult","Ramp4",2005,1990,13289.38,0.6336403,13344.74
"Cmult","Ramp4",2005,1991,13486.04,0.553619,8330.5
"Cmult","Ramp4",2005,1992,14449.98,0.8558537,7148.64
"Cmult","Ramp4",2005,1993,12435.34,1.010323,6920.702
"Cmult","Ramp4",2005,1994,9803.224,0.6871233,4844.752
"Cmult","Ramp4",2005,1995,9007.839,0.6307006,3183.947
"Cmult","Ramp4",2005,1996,9241.148,0.4637401,4267.039
"Cmult","Ramp4",2005,1997,9591.786,0.2943723,5887.918
"Cmult","Ramp4",2005,1998,11592.62,0.2862558,6265.934
"Cmult","Ramp4",2005,1999,12612.48,0.3777548,8923.808
"Cmult","Ramp4",2005,2000,13620.19,0.3206549,4012.195
"Cmult","Ramp4",2005,2001,16991.89,0.3782078,3498.788
"Cmult","Ramp4",2005,2002,21018.03,0.3285339,3716.99
"Cmult","Ramp4",2005,2003,21960.68,0.4928631,3509.156
"Cmult","Ramp4",2005,2004,19084.85,0.4602258,3192.251
"Cmult","Ramp4",2005,2005,14967.37,0.5431024,5138.196
"Cmult","Ramp4",2005,2006,13344.61,0.3989214,6169.849
"Cmult","Ramp4",2005,2007,15934.79,0.2809074,4835.093
"Cmult","Ramp4",2005,2008,16624.81,0.2866544,5300.325
"Cmult","Ramp4",2005,2009,16197.15,0.3523392,5102.193
"Cmult","Ramp4",2005,2010,19787.29,0.2935513,4235.175
"Cmult","Ramp4",2005,2011,22553.91,0.3998083,3808.464
"Cmult","Ramp4",2005,2012,21161.09,0.4135131,3582.703
"Cmult","Ramp4",2005,2013,19494.72,0.3532422,3962.555
"Cmult","Ramp4",2005,2014,16811.34,0.3553603,3535.78
"Cmult","Ramp4",2005,2015,14881.37,0.3256962,3883.079
"Cmult","Ramp4",2005,2016,16036.61,0.2374538,2375.116
"Cmult","Ramp4",2005,2017,16092.44,0.3597286,3535.269
"Cmult","Ramp4",2005,2018,13348.23,0.4460276,4315.542
"Cmult","Ramp4",2010,1963,17284.16,0.2951257,3364.989
"Cmult","Ramp4",2010,1964,16727.06,0.2898284,2838.802
"Cmult","Ramp4",2010,1965,16050.21,0.2724836,3984.206
"Cmult","Ramp4",2010,1966,15715.39,0.1962673,4584.625
"Cmult","Ramp4",2010,1967,16431.17,0.15018,4823.476
"Cmult","Ramp4",2010,1968,18064.58,0.1396209,5762.654
"Cmult","Ramp4",2010,1969,20222.6,0.1204448,4971.295
"Cmult","Ramp4",2010,1970,22814.92,0.1390256,6451.43
"Cmult","Ramp4",2010,1971,25157.13,0.1563385,7897.957
"Cmult","Ramp4",2010,1972,27259.58,0.1491327,5077.314
"Cmult","Ramp4",2010,1973,30106.73,0.1397058,4710.045
"Cmult","Ramp4",2010,1974,32813.63,0.1550866,5717.651
"Cmult","Ramp4",2010,1975,34210.21,0.140253,4702.927
"Cmult","Ramp4",2010,1976,35150.77,0.1500052,4864.071
"Cmult","Ramp4",2010,1977,34922.6,0.1935873,6487.765
"Cmult","Ramp4",2010,1978,33762.14,0.1943267,6391.923
"Cmult","Ramp4",2010,1979,33050.92,0.1745869,3622.702
"Cmult","Ramp4",2010,1980,32457.66,0.2038341,6713.337
"Cmult","Ramp4",2010,1981,30885.11,0.2687148,5424.5
"Cmult","Ramp4",2010,1982,27963.65,0.333878,6262.183
"Cmult","Ramp4",2010,1983,24799.95,0.3434935,3839.23
"Cmult","Ramp4",2010,1984,22212.48,0.4083405,5616.684
"Cmult","Ramp4",2010,1985,19176.82,0.4951068,10780.07
"Cmult","Ramp4",2010,1986,15990.39,0.5420837,5740.076
"Cmult","Ramp4",2010,1987,14346.98,0.6376319,8728.494
"Cmult","Ramp4",2010,1988,13590.31,0.6517429,8504.572
"Cmult","Ramp4",2010,1989,12691.56,0.6220678,12452.69
"Cmult","Ramp4",2010,1990,12945.05,0.6556233,13054.52
"Cmult","Ramp4",2010,1991,13156.48,0.5828983,8081.005
"Cmult","Ramp4",2010,1992,14021.81,0.9027327,6848.228
"Cmult","Ramp4",2010,1993,11905.83,1.083763,6506.995
"Cmult","Ramp4",2010,1994,9158.507,0.7603926,4410.808
"Cmult","Ramp4",2010,1995,8139.441,0.7236256,2782.805
"Cmult","Ramp4",2010,1996,7969.864,0.5618504,3549.738
"Cmult","Ramp4",2010,1997,7850.791,0.375268,4602.842
"Cmult","Ramp4",2010,1998,9066.78,0.3724344,4604.736
"Cmult","Ramp4",2010,1999,9273.49,0.5303,6218.443
"Cmult","Ramp4",2010,2000,9216.312,0.4920918,2704.647
"Cmult","Ramp4",2010,2001,10720.5,0.4951424,2372.694
"Cmult","Ramp4",2010,2002,13036.73,0.3593088,2610.7
"Cmult","Ramp4",2010,2003,13818.43,0.4529345,2612.47
"Cmult","Ramp4",2010,2004,12766.56,0.340447,2518.151
"Cmult","Ramp4",2010,2005,11402.76,0.3052511,4272.299
"Cmult","Ramp4",2010,2006,11907.17,0.2347349,5372.347
"Cmult","Ramp4",2010,2007,15304.62,0.184101,4333.793
"Cmult","Ramp4",2010,2008,16342.53,0.2121919,4827.743
"Cmult","Ramp4",2010,2009,15902.29,0.300358,4685.848
"Cmult","Ramp4",2010,2010,19424.77,0.2831817,3902.735
"Cmult","Ramp4",2010,2011,21745.34,0.3937144,3505.308
"Cmult","Ramp4",2010,2012,20134.66,0.4130794,3287.645
"Cmult","Ramp4",2010,2013,18321.1,0.3577758,3621.767
"Cmult","Ramp4",2010,2014,15642.16,0.3638942,3213.151
"Cmult","Ramp4",2010,2015,13647.66,0.3392952,3512.607
"Cmult","Ramp4",2010,2016,14512.41,0.2509802,2138.083
"Cmult","Ramp4",2010,2017,14360.59,0.3863633,3170.408
"Cmult","Ramp4",2010,2018,11673.78,0.4914554,3855.059
"Cmult","Ramp4",2015,1963,18663.86,0.2621254,3266.107
"Cmult","Ramp4",2015,1964,18059.48,0.2672495,2779.366
"Cmult","Ramp4",2015,1965,17240.53,0.2521986,3910.689
"Cmult","Ramp4",2015,1966,16781.81,0.1829267,4511.171
"Cmult","Ramp4",2015,1967,17378.06,0.1413907,4753.178
"Cmult","Ramp4",2015,1968,18880.06,0.1331432,5684.515
"Cmult","Ramp4",2015,1969,20894.95,0.1162726,4913.614
"Cmult","Ramp4",2015,1970,23345.48,0.1350531,6389.901
"Cmult","Ramp4",2015,1971,25568.69,0.1523502,7817.254
"Cmult","Ramp4",2015,1972,27584.28,0.1459419,5008.283
"Cmult","Ramp4",2015,1973,30359.06,0.1371717,4631.633
"Cmult","Ramp4",2015,1974,33004.89,0.1522316,5611.197
"Cmult","Ramp4",2015,1975,34359.81,0.1379819,4607.11
"Cmult","Ramp4",2015,1976,35251.62,0.1475269,4758.501
"Cmult","Ramp4",2015,1977,34985.2,0.1897336,6338.894
"Cmult","Ramp4",2015,1978,33816.5,0.1905722,6237.574
"Cmult","Ramp4",2015,1979,33072.66,0.1717945,3527.715
"Cmult","Ramp4",2015,1980,32408.64,0.2005837,6524.476
"Cmult","Ramp4",2015,1981,30801.08,0.2634156,5265.346
